,Have you Completed your Graduation ?,Highest Educational Qualification,Total no of years Experience [before joining Piramal],Average Incentive [per month] earned in your pervious company ?,Which Products you are selling in your pervious role ?,What was the average ticket size handled at your end in previous role ?,How many members are there in your family ?,How many are earning family members ? [Other then yourself]2,How many members are dependent on you ?,Department,Performance,same_first_digit
0,Full Time,Under Graduate,5.0,Above 10K,MSME / SME Loan,INR 5L - INR 15L,1 - 2 members,1.0,1,Mass Affluent Housing,0,1
1,Full Time,Under Graduate,1.5,7K-10K,Personal Loan,INR 50K - INR 2L,3 - 4 members,2.0,4,Sales,1,1
2,Full Time,Under Graduate,4.5,Less than 3K,Housing Loan,INR 15L and above,3 - 4 members,1.0,2,Affordable Housing,1,1
3,Full Time,Post Graduate,4.5,Above 10K,CASA Account,INR 15L and above,3 - 4 members,2.0,3,Affordable Housing,1,1
4,Full Time,Post Graduate,1.0,Nil,Others,Fresher,3 - 4 members,1.0,3,Affordable Housing,0,1
5,Full Time,Post Graduate,10.0,3K-7K,Housing Loan,INR 50K - INR 2L,1 - 2 members,1.0,3,Affordable Housing,0,0
6,Full Time,Under Graduate,2.0,Above 10K,Housing Loan,INR 15L and above,5 & Above members,3.0,3,Affordable Housing,1,1
7,Full Time,Under Graduate,6.5,Above 10K,Car Loan,INR 10L and above,3 - 4 members,1.0,2,Sales,0,1
8,Full Time,Post Graduate,2.0,Above 10K,Personal Loan,INR 15L and above,3 - 4 members,2.0,2,Sales,0,1
9,Full Time,Under Graduate,3.0,7K-10K,Housing Loan,INR 15L and above,5 & Above members,0.0,4,Sales,0,1
10,Full Time,Under Graduate,3.0,Above 10K,Housing Loan,INR 15L and above,5 & Above members,2.0,5,Secured Business Loan,1,1
11,Full Time,Under Graduate,2.0,7K-10K,Housing Loan,INR 50K - INR 2L,3 - 4 members,0.0,3,Affordable Housing,1,1
12,Full Time,Post Graduate,7.0,7K-10K,Housing Loan,INR 15L and above,1 - 2 members,1.0,1,Sales,0,1
13,Full Time,Under Graduate,9.0,Above 10K,MSME / SME Loan,INR 5L - INR 15L,3 - 4 members,1.0,2,Business Loans,0,1
14,Part Time,Under Graduate,15.0,Nil,Others,INR 50K - INR 2L,3 - 4 members,1.0,3,Affordable Housing,1,1
15,Full Time,Under Graduate,2.5,3K-7K,MSME / SME Loan,INR 5L - INR 15L,5 & Above members,2.0,0,Secured Business Loan,1,1
16,Full Time,Under Graduate,6.0,Above 10K,Others,Fresher,3 - 4 members,1.0,2,Secured Business Loan,0,1
17,Full Time,Under Graduate,6.0,Above 10K,Housing Loan,INR 2L - INR 5L,3 - 4 members,0.0,3,Business Loans,0,1
18,Full Time,Post Graduate,5.0,3K-7K,Housing Loan,INR 5L - INR 15L,5 & Above members,3.0,3,Affordable Housing,0,1
19,Full Time,Post Graduate,5.0,3K-7K,Housing Loan,INR 50K and below,3 - 4 members,1.0,4,Mass Affluent Housing,1,0
20,Full Time,Post Graduate,8.0,3K-7K,MSME / SME Loan,INR 50K - INR 2L,3 - 4 members,1.0,3,Affordable Housing,1,1
21,Full Time,Under Graduate,7.0,Above 10K,Housing Loan,INR 2L - INR 5L,3 - 4 members,0.0,3,Affordable Housing,0,1
22,Full Time,Under Graduate,3.0,3K-7K,Car Loan,INR 5L - INR 15L,5 & Above members,2.0,4,Sales,1,1
23,Full Time,Under Graduate,0.0,3K-7K,Housing Loan,INR 5L - INR 15L,5 & Above members,1.0,2,Budget Housing,1,1
24,Full Time,Under Graduate,3.0,3K-7K,Housing Loan,INR 2L - INR 5L,3 - 4 members,1.0,3,Mass Affluent Housing,0,1
25,Full Time,Post Graduate,5.0,Above 10K,Housing Loan,INR 5L - INR 15L,3 - 4 members,3.0,1,Mass Affluent Housing,0,1
26,Full Time,Under Graduate,5.083333333,3K-7K,Business Loan,INR 50K and below,1 - 2 members,1.0,2,Business Loans,0,1
27,Full Time,Under Graduate,7.0,Above 10K,MSME / SME Loan,INR 15L and above,3 - 4 members,0.0,5,Business Loans,0,1
28,Part Time,Under Graduate,8.0,7K-10K,MSME / SME Loan,INR 5L - INR 15L,1 - 2 members,1.0,2,Business Loans,1,1
29,Full Time,Under Graduate,4.0,3K-7K,Housing Loan,INR 15L and above,1 - 2 members,1.0,1,Affordable Housing,0,1
30,Full Time,Post Graduate,6.0,Above 10K,Housing Loan,INR 15L and above,3 - 4 members,1.0,2,Mass Affluent Housing,0,1
31,Full Time,Under Graduate,5.0,3K-7K,Housing Loan,INR 50K - INR 2L,1 - 2 members,0.0,2,Budget Housing,0,1
32,Full Time,Post Graduate,10.0,Nil,Housing Loan,Fresher,3 - 4 members,0.0,5,Affordable Housing,0,1
33,Full Time,Under Graduate,4.0,7K-10K,MSME / SME Loan,INR 50K - INR 2L,3 - 4 members,0.0,4,Mass Affluent Housing,1,1
34,Full Time,Under Graduate,1.0,Above 10K,Personal Loan,INR 50K - INR 2L,3 - 4 members,2.0,2,Sales,1,1
35,Full Time,Post Graduate,4.0,Above 10K,Housing Loan,INR 15L and above,5 & Above members,2.0,6,Mass Affluent Housing,0,1
36,Full Time,Under Graduate,0.0,Above 10K,Housing Loan,INR 10L and above,3 - 4 members,1.0,0,Mass Affluent Housing,0,1
37,Full Time,Post Graduate,3.0,7K-10K,Housing Loan,INR 15L and above,5 & Above members,1.0,3,Secured Business Loan,0,1
38,Full Time,Under Graduate,8.0,7K-10K,Housing Loan,INR 15L and above,1 - 2 members,2.0,2,Mass Affluent Housing,0,1
39,Full Time,Under Graduate,3.0,7K-10K,MSME / SME Loan,INR 50K - INR 2L,3 - 4 members,1.0,3,Business Loans,1,1
40,Full Time,Post Graduate,4.0,Above 10K,Housing Loan,INR 15L and above,5 & Above members,2.0,3,Secured Business Loan,1,1
41,Full Time,Post Graduate,1.0,Above 10K,Others,INR 50K - INR 2L,3 - 4 members,2.0,3,Sales,0,1
42,Full Time,Under Graduate,1.5,3K-7K,Personal Loan,INR 15L and above,3 - 4 members,2.0,3,Sales,1,1
43,Full Time,Under Graduate,4.0,7K-10K,Personal Loan,INR 2L - INR 5L,3 - 4 members,1.0,3,Affordable Housing,0,1
44,Full Time,Post Graduate,11.0,Above 10K,Housing Loan,INR 2L - INR 5L,5 & Above members,1.0,6,Affordable Housing,0,1
45,Full Time,Under Graduate,2.0,Above 10K,CASA Account,INR 50K - INR 2L,5 & Above members,1.0,0,Affordable Housing,0,1
46,Full Time,Under Graduate,0.0,Above 10K,Car Loan,INR 10L and above,3 - 4 members,1.0,2,Sales,1,1
47,Full Time,Under Graduate,0.0,Less than 3K,Car Loan,INR 2L - INR 5L,3 - 4 members,1.0,2,Sales,0,1
48,Full Time,Under Graduate,10.0,Above 10K,Housing Loan,INR 15L and above,3 - 4 members,1.0,3,Affordable Housing,1,1
49,Full Time,Under Graduate,3.5,Above 10K,MSME / SME Loan,INR 5L - INR 15L,5 & Above members,1.0,2,Business Loans,0,1
50,Full Time,Under Graduate,0.0,7K-10K,Housing Loan,INR 10L and above,5 & Above members,1.0,2,Mass Affluent Housing,0,1
51,Full Time,Under Graduate,2.5,Above 10K,Housing Loan,INR 15L and above,5 & Above members,0.0,5,Affordable Housing,1,1
52,Full Time,Under Graduate,3.0,7K-10K,Others,INR 2L - INR 5L,3 - 4 members,1.0,2,Affordable Housing,0,1
53,Full Time,Under Graduate,4.833333333,Above 10K,Personal Loan,INR 10L and above,3 - 4 members,1.0,2,Sales,1,1
54,Full Time,Under Graduate,0.0,Nil,Housing Loan,Fresher,3 - 4 members,2.0,1,Budget Housing,0,1
55,Full Time,Under Graduate,2.0,7K-10K,Personal Loan,INR 15L and above,3 - 4 members,2.0,2,Mass Affluent Housing,1,1
56,Full Time,Under Graduate,1.833333333,3K-7K,Housing Loan,INR 10L and above,3 - 4 members,1.0,3,Affordable Housing,0,0
57,Full Time,Under Graduate,0.0,Nil,Housing Loan,Fresher,5 & Above members,1.0,4,Affordable Housing,1,1
58,Full Time,Under Graduate,3.0,7K-10K,Others,INR 5L - INR 15L,5 & Above members,1.0,6,Affordable Housing,0,1
59,Full Time,Under Graduate,0.0,3K-7K,Car Loan,INR 10L and above,5 & Above members,1.0,3,Sales,1,1
60,Full Time,Under Graduate,10.0,Above 10K,Car Loan,INR 15L and above,5 & Above members,2.0,3,Affordable Housing,0,1
61,Full Time,Under Graduate,3.666666667,Above 10K,Loan Against Property,INR 2L - INR 5L,3 - 4 members,1.0,1,Secured Business Loan,1,1
62,Full Time,Post Graduate,5.0,7K-10K,Others,INR 50K - INR 2L,5 & Above members,1.0,2,Mass Affluent Housing,0,1
63,Full Time,Post Graduate,4.5,7K-10K,Loan Against Property,INR 10L and above,5 & Above members,1.0,2,Secured Business Loan,0,1
64,Full Time,Under Graduate,0.0,Nil,Housing Loan,INR 50K - INR 2L,3 - 4 members,1.0,1,Affordable Housing,1,1
65,Full Time,Under Graduate,2.5,Nil,CASA Account,INR 50K and below,3 - 4 members,1.0,3,Affordable Housing,0,1
66,Full Time,Post Graduate,5.0,3K-7K,MSME / SME Loan,INR 5L - INR 15L,3 - 4 members,0.0,2,Business Loans,0,1
67,Full Time,Post Graduate,5.0,Above 10K,Housing Loan,INR 50K - INR 2L,1 - 2 members,4.0,10,Affordable Housing,1,1
68,Full Time,Under Graduate,4.0,3K-7K,Housing Loan,INR 50K and below,5 & Above members,3.0,0,Affordable Housing,0,1
69,Full Time,Post Graduate,1.0,3K-7K,Others,INR 50K and below,3 - 4 members,1.0,3,Sales,0,1
70,Part Time,Under Graduate,8.0,3K-7K,CASA Account,INR 50K and below,5 & above members,2.0,3,Mass Affluent Housing,0,1
71,Part Time,Under Graduate,6.0,3K-7K,Housing Loan,INR 15L and above,3 - 4 members,1.0,3,Affordable Housing,1,1
72,Part Time,Under Graduate,11.0,Nil,Car Loan,INR 5L - INR 15L,5 & Above members,0.0,4,Sales,1,1
73,Full Time,Under Graduate,6.0,Above 10K,MSME / SME Loan,INR 50K and below,5 & Above members,1.0,7,Business Loans,0,0
74,Full Time,Under Graduate,0.0,3K-7K,Housing Loan,INR 10L and above,1 - 2 members,1.0,2,Mass Affluent Housing,0,1
75,Full Time,Under Graduate,7.0,3K-7K,Housing Loan,INR 15L and above,3 - 4 members,0.0,3,Affordable Housing,1,1
76,Full Time,Under Graduate,0.0,7K-10K,Housing Loan,INR 10L and above,5 & Above members,1.0,1,Mass Affluent Housing,1,1
77,Full Time,Under Graduate,3.0,3K-7K,Others,INR 50K - INR 2L,1 - 2 members,2.0,1,Affordable Housing,0,1
78,Full Time,Under Graduate,0.0,7K-10K,Car Loan,INR 5L - INR 15L,5 & Above members,1.0,1,Sales,0,1
79,Full Time,Under Graduate,2.0,3K-7K,Housing Loan,INR 5L - INR 15L,5 & Above members,3.0,0,Affordable Housing,0,1
80,Full Time,Under Graduate,3.0,Above 10K,Housing Loan,INR 5L - INR 15L,3 - 4 members,1.0,3,Mass Affluent Housing,1,1
81,Full Time,Post Graduate,4.0,3K-7K,Others,Fresher,3 - 4 members,1.0,2,Affordable Housing,0,0
82,Full Time,Post Graduate,8.5,Above 10K,Others,Fresher,5 & Above members,0.0,4,Affordable Housing,0,1
83,Full Time,Under Graduate,5.166666667,Above 10K,Business Loan,INR 10L and above,1 - 2 members,1.0,2,Business Loans,1,0
84,Full Time,Under Graduate,7.0,Above 10K,Housing Loan,INR 50K and below,5 & Above members,2.0,2,Sales,1,1
85,Full Time,Under Graduate,5.0,3K-7K,Personal Loan,INR 15L and above,3 - 4 members,2.0,2,Sales,0,1
86,Full Time,Under Graduate,8.0,Above 10K,Housing Loan,INR 15L and above,5 & Above members,0.0,5,Affordable Housing,0,1
87,Part Time,Under Graduate,9.0,Above 10K,Others,INR 15L and above,5 & Above members,2.0,3,Secured Business Loan,1,1
88,Full Time,Under Graduate,5.0,Above 10K,Personal Loan,INR 5L - INR 15L,3 - 4 members,0.0,2,Business Loans,0,1
89,Full Time,Under Graduate,0.0,Above 10K,Personal Loan,INR 10L and above,5 & Above members,1.0,2,Mass Affluent Housing,1,1
90,Full Time,Under Graduate,9.0,Above 10K,Car Loan,INR 5L - INR 15L,5 & Above members,2.0,3,Sales,0,1
91,Full Time,Post Graduate,6.0,Above 10K,Car Loan,INR 5L - INR 15L,3 - 4 members,1.0,2,Affordable Housing,1,0
92,Full Time,Under Graduate,0.0,Above 10K,Housing Loan,INR 10L and above,1 - 2 members,1.0,4,Mass Affluent Housing,0,1
93,Full Time,Post Graduate,1.0,3K-7K,MSME / SME Loan,INR 5L - INR 15L,5 & Above members,1.0,1,Secured Business Loan,0,1
94,Full Time,Under Graduate,3.0,3K-7K,Others,INR 15L and above,5 & Above members,1.0,5,Affordable Housing,0,1
95,Full Time,Under Graduate,6.0,3K-7K,Others,Fresher,5 & Above members,1.0,5,Affordable Housing,0,1
96,Full Time,Under Graduate,7.0,3K-7K,MSME / SME Loan,INR 50K - INR 2L,5 & Above members,2.0,0,Sales,0,1
97,Part Time,Under Graduate,6.0,Above 10K,MSME / SME Loan,INR 5L - INR 15L,1 - 2 members,2.0,1,Affordable Housing,0,1
98,Full Time,Post Graduate,2.0,Above 10K,Others,INR 50K - INR 2L,3 - 4 members,3.0,2,Affordable Housing,0,1
99,Full Time,Under Graduate,0.0,Above 10K,Housing Loan,INR 5L - INR 15L,5 & Above members,1.0,1,Affordable Housing,1,1
100,Full Time,Under Graduate,0.0,Less than 3K,Housing Loan,INR 10L and above,3 - 4 members,1.0,4,Mass Affluent Housing,0,1
101,Full Time,Post Graduate,7.0,3K-7K,Car Loan,INR 15L and above,5 & Above members,2.0,4,Mass Affluent Housing,0,1
102,Full Time,Under Graduate,6.0,3K-7K,Car Loan,INR 5L - INR 15L,5 & Above members,2.0,4,Sales,1,1
103,Full Time,Under Graduate,0.0,Nil,CASA Account,Fresher,5 & Above members,1.0,3,Affordable Housing,0,1
104,Full Time,Under Graduate,3.0,Above 10K,Personal Loan,INR 2L - INR 5L,3 - 4 members,2.0,1,Mass Affluent Housing,1,1
105,Full Time,Under Graduate,3.166666667,3K-7K,Housing Loan,INR 10L and above,3 - 4 members,1.0,3,Mass Affluent Housing,0,1
106,Full Time,Post Graduate,7.0,7K-10K,Others,Fresher,5 & Above members,1.0,4,Mass Affluent Housing,0,1
107,Full Time,Post Graduate,10.0,Above 10K,Housing Loan,INR 15L and above,3 - 4 members,1.0,0,Mass Affluent Housing,1,1
108,Full Time,Under Graduate,5.0,7K-10K,Personal Loan,INR 2L - INR 5L,3 - 4 members,1.0,2,Sales,0,1
109,Full Time,Under Graduate,0.0,Above 10K,Loan Against Property,INR 10L and above,5 & Above members,1.0,4,Secured Business Loan,1,1
110,Full Time,Post Graduate,4.0,3K-7K,Housing Loan,INR 15L and above,1 - 2 members,1.0,0,Mass Affluent Housing,0,1
111,Full Time,Post Graduate,4.7,Above 10K,Personal Loan,INR 5L - INR 15L,5 & Above members,1.0,2,Affordable Housing,0,1
112,Full Time,Under Graduate,5.0,Above 10K,Housing Loan,INR 2L - INR 5L,3 - 4 members,1.0,1,Mass Affluent Housing,0,1
113,Full Time,Under Graduate,0.0,3K-7K,Personal Loan,INR 10L and above,3 - 4 members,1.0,2,Sales,1,1
114,Full Time,Post Graduate,5.5,3K-7K,Others,INR 15L and above,5 & Above members,1.0,3,Secured Business Loan,1,1
115,Full Time,Under Graduate,5.0,3K-7K,Housing Loan,INR 5L - INR 15L,1 - 2 members,1.0,2,Affordable Housing,1,1
116,Full Time,Under Graduate,5.0,Above 10K,MSME / SME Loan,INR 2L - INR 5L,3 - 4 members,1.0,4,Mass Affluent Housing,0,1
117,Full Time,Post Graduate,4.0,3K-7K,Housing Loan,INR 15L and above,3 - 4 members,2.0,4,Affordable Housing,1,1
118,Full Time,Post Graduate,3.0,Above 10K,Housing Loan,INR 15L and above,5 & Above members,3.0,1,Affordable Housing,1,1
119,Full Time,Under Graduate,0.0,Above 10K,Housing Loan,INR 10L and above,3 - 4 members,1.0,3,Mass Affluent Housing,1,1
120,Full Time,Under Graduate,1.0,3K-7K,MSME / SME Loan,INR 2L - INR 5L,3 - 4 members,0.0,4,Secured Business Loan,0,1
121,Full Time,Post Graduate,5.0,3K-7K,Car Loan,INR 50K - INR 2L,3 - 4 members,1.0,3,Sales,0,1
122,Full Time,Post Graduate,1.0,Above 10K,Housing Loan,INR 15L and above,3 - 4 members,1.0,3,Mass Affluent Housing,1,1
123,Full Time,Post Graduate,3.0,3K-7K,Others,INR 2L - INR 5L,3 - 4 members,4.0,0,Affordable Housing,0,1
124,Full Time,Under Graduate,5.0,3K-7K,Others,INR 50K - INR 2L,3 - 4 members,2.0,3,Mass Affluent Housing,0,0
125,Full Time,Under Graduate,0.0,Above 10K,Business Loan,INR 10L and above,5 & Above members,1.0,3,Business Loans,1,1
126,Full Time,Under Graduate,0.0,3K-7K,Car Loan,INR 50K and below,5 & Above members,1.0,4,Sales,0,1
127,Full Time,Under Graduate,0.0,Above 10K,Housing Loan,INR 10L and above,5 & Above members,1.0,2,Affordable Housing,0,1
128,Full Time,Under Graduate,5.916666667,Less than 3K,Housing Loan,INR 10L and above,3 - 4 members,1.0,2,Mass Affluent Housing,0,1
129,Full Time,Under Graduate,16.0,7K-10K,Car Loan,INR 2L - INR 5L,1 - 2 members,0.0,2,Sales,1,1
130,Full Time,Under Graduate,8.0,Less than 3K,Housing Loan,INR 50K - INR 2L,3 - 4 members,2.0,2,Affordable Housing,1,1
131,Full Time,Under Graduate,0.0,Less than 3K,Housing Loan,INR 10L and above,5 & Above members,1.0,0,Affordable Housing,0,1
132,Full Time,Under Graduate,6.0,Above 10K,Housing Loan,INR 50K - INR 2L,1 - 2 members,1.0,2,Mass Affluent Housing,0,1
133,Full Time,Under Graduate,10.0,Above 10K,Housing Loan,INR 5L - INR 15L,5 & above members,1.0,5,Affordable Housing,0,1
134,Part Time,Under Graduate,2.0,Less than 3K,Others,INR 50K and below,5 & Above members,3.0,3,Budget Housing,0,1
135,Full Time,Post Graduate,5.0,3K-7K,Personal Loan,INR 2L - INR 5L,5 & above members,3.0,2,Affordable Housing,0,1
136,Full Time,Under Graduate,2.0,Above 10K,MSME / SME Loan,INR 15L and above,5 & Above members,0.0,5,Affordable Housing,0,0
137,Full Time,Under Graduate,7.4725,Less than 3K,Housing Loan,INR 2L - INR 5L,5 & Above members,1.0,4,Affordable Housing,0,1
138,Full Time,Under Graduate,0.0,Above 10K,Housing Loan,INR 10L and above,3 - 4 members,1.0,2,Affordable Housing,0,1
139,Full Time,Under Graduate,7.0,3K-7K,Car Loan,INR 5L - INR 15L,5 & Above members,0.0,6,Sales,1,1
140,Full Time,Post Graduate,7.0,Above 10K,Housing Loan,INR 15L and above,3 - 4 members,1.0,2,Mass Affluent Housing,0,1
141,Full Time,Under Graduate,5.0,7K-10K,Personal Loan,INR 2L - INR 5L,5 & above members,1.0,1,Sales,1,1
142,Full Time,Under Graduate,4.0,Above 10K,Personal Loan,INR 2L - INR 5L,3 - 4 members,2.0,0,Sales,0,1
143,Full Time,Post Graduate,13.08333333,Nil,Loan Against Property,Fresher,3 - 4 members,1.0,2,Secured Business Loan,0,1
144,Full Time,Post Graduate,3.8,3K-7K,Housing Loan,INR 2L - INR 5L,1 - 2 members,0.0,2,Sales,1,1
145,Full Time,Under Graduate,3.5,3K-7K,CASA Account,Fresher,3 - 4 members,2.0,3,Sales,0,1
146,Full Time,Under Graduate,5.0,7K-10K,Others,INR 50K - INR 2L,3 - 4 members,1.0,2,Affordable Housing,0,1
147,Full Time,Under Graduate,5.0,Above 10K,Housing Loan,INR 15L and above,1 - 2 members,1.0,2,Budget Housing,1,1
148,Full Time,Others,3.0,Nil,Housing Loan,INR 5L - INR 15L,5 & Above members,3.0,2,Affordable Housing,0,1
149,Full Time,Under Graduate,0.0,Nil,Housing Loan,Fresher,5 & Above members,0.0,4,Affordable Housing,1,1
150,Full Time,Under Graduate,2.3,3K-7K,Housing Loan,INR 5L - INR 15L,1 - 2 members,1.0,1,Affordable Housing,0,1
151,Full Time,Under Graduate,4.0,Above 10K,Others,INR 15L and above,5 & Above members,0.0,4,Affordable Housing,0,1
152,Full Time,Under Graduate,3.0,Above 10K,CASA Account,INR 50K - INR 2L,3 - 4 members,2.0,2,Affordable Housing,0,1
153,Full Time,Others,1.0,Above 10K,Housing Loan,INR 5L - INR 15L,3 - 4 members,2.0,2,Mass Affluent Housing,1,1
154,Full Time,Under Graduate,2.0,Above 10K,MSME / SME Loan,INR 5L - INR 15L,5 & Above members,5.0,5,Secured Business Loan,1,1
155,Full Time,Post Graduate,4.0,7K-10K,Housing Loan,INR 15L and above,5 & Above members,3.0,4,Affordable Housing,0,1
156,Full Time,Under Graduate,3.5,Above 10K,Loan Against Property,INR 2L - INR 5L,3 - 4 members,1.0,2,Secured Business Loan,0,1
157,Full Time,Post Graduate,1.5,Above 10K,Housing Loan,INR 50K - INR 2L,5 & Above members,2.0,4,Mass Affluent Housing,1,1
158,Full Time,Post Graduate,6.0,7K-10K,Housing Loan,INR 5L - INR 15L,3 - 4 members,3.0,2,Affordable Housing,0,1
159,Full Time,Under Graduate,5.0,7K-10K,Housing Loan,INR 15L and above,3 - 4 members,0.0,3,Affordable Housing,0,1
160,Full Time,Post Graduate,2.8,Nil,MSME / SME Loan,INR 5L - INR 15L,3 - 4 members,1.0,2,Sales,0,1
161,Full Time,Under Graduate,0.0,7K-10K,Others,INR 10L and above,5 & Above members,1.0,2,Mass Affluent Housing,0,1
162,Full Time,Under Graduate,4.0,7K-10K,Housing Loan,INR 15L and above,3 - 4 members,0.0,4,Mass Affluent Housing,1,1
163,Full Time,Under Graduate,3.0,3K-7K,Housing Loan,INR 15L and above,5 & above members,3.0,2,Mass Affluent Housing,0,1
164,Full Time,Post Graduate,1.0,Nil,Housing Loan,INR 50K - INR 2L,3 - 4 members,1.0,1,Affordable Housing,0,1
165,Full Time,Under Graduate,2.0,3K-7K,Housing Loan,INR 50K and below,5 & Above members,0.0,4,Affordable Housing,0,1
166,Full Time,Under Graduate,4.833333333,Above 10K,Personal Loan,INR 10L and above,3 - 4 members,1.0,3,Sales,0,1
167,Full Time,Under Graduate,0.0,Less than 3K,Housing Loan,Fresher,3 - 4 members,1.0,4,Affordable Housing,0,1
168,Full Time,Under Graduate,5.0,3K-7K,Others,INR 50K and below,5 & Above members,0.0,5,Affordable Housing,0,1
169,Full Time,Under Graduate,0.0,3K-7K,Loan Against Property,INR 10L and above,3 - 4 members,1.0,1,Secured Business Loan,0,1
170,Full Time,Under Graduate,1.0,3K-7K,Housing Loan,INR 50K - INR 2L,3 - 4 members,1.0,2,Affordable Housing,0,1
171,Part Time,Under Graduate,1.5,Above 10K,Housing Loan,INR 50K and below,1 - 2 members,1.0,1,Affordable Housing,0,1
172,Full Time,Under Graduate,0.0,Nil,Housing Loan,Fresher,3 - 4 members,4.0,3,Affordable Housing,0,1
173,Full Time,Under Graduate,0.0,7K-10K,Housing Loan,INR 50K and below,5 & Above members,1.0,2,Affordable Housing,1,1
174,Full Time,Under Graduate,6.0,Above 10K,Housing Loan,INR 15L and above,3 - 4 members,0.0,2,Affordable Housing,0,1
175,Full Time,Under Graduate,8.0,7K-10K,Car Loan,INR 5L - INR 15L,3 - 4 members,3.0,2,Affordable Housing,0,1
176,Full Time,Under Graduate,5.0,3K-7K,Housing Loan,INR 15L and above,5 & Above members,2.0,0,Mass Affluent Housing,1,1
177,Full Time,Post Graduate,1.5,Above 10K,Housing Loan,INR 5L - INR 15L,1 - 2 members,1.0,1,Affordable Housing,1,1
178,Part Time,Under Graduate,10.0,Nil,Housing Loan,INR 15L and above,5 & Above members,1.0,5,Affordable Housing,0,1
179,Full Time,Post Graduate,0.0,Nil,Others,Fresher,3 - 4 members,1.0,2,Affordable Housing,0,1
180,Full Time,Under Graduate,6.0,3K-7K,Others,INR 2L - INR 5L,3 - 4 members,1.0,3,Affordable Housing,0,1
181,Full Time,Others,20.0,Above 10K,Others,INR 15L and above,3 - 4 members,0.0,3,Affordable Housing,0,1
